location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
Airoli,1257.33,2,2.0,18,34.0,4.3,0,0,22628336
Airoli,985.44,2,2.0,12,9.0,5.0,0,0,12205140
Vashi,889.16,4,2.5295887662988967,12,17.0,17.3,0,0,16013631
Belapur,761.16,2.4597701149425286,1.0,13,11.0,3.9,0,1,11200907
Airoli,647.68,1,2.0,27,27.0,14.3,1,1,7946088
KHARGHAR,1195.27,2,4.0,22,22.0,10.3,1,1,14458629
panvel,1093.34,2,4.0,19,14.0,0.8,0,1,14605471
Airoli,1579.66,1,2.5295887662988967,26,37.0,5.9,1,0,26383093
Belapur,1461.17,2.4597701149425286,2.0,31,21.0,6.4,0,1,17364266
nerul,875.21,4,2.5295887662988967,19,12.0,8.3,0,1,18846356
Nerul,1251.98,2,2.5295887662988967,7,6.0,3.7,1,0,24461920
Airoli,934.67,1,2.0,9,33.0,12.9,0,0,14117358
CBD Belapur,670.95,2,2.5295887662988967,21,30.0,2.3,0,0,8167802
Ulwe,1143.55,2.4597701149425286,2.0,17,10.0,1.4,1,0,12878418
panvel,2007.74,2,2.5295887662988967,29,37.0,1.0,0,0,22317934
Airoli,581.42,1,2.5295887662988967,19,22.0,4.6,0,1,5521254
Nerul,1459.2,1,2.0,14,34.0,14.1,0,1,22172149
panvel,122.82,4,1.0,33,7.0,1.2,0,1,824504
Ghansoli,1294.47,2.4597701149425286,4.0,12,34.0,1.5,1,1,12020362
Panvel,1305.66,3,3.0,33,31.0,1.3,1,1,26738352
Belapur,918.89,2.4597701149425286,1.0,8,34.0,5.3,0,0,15067913
Nerul,1124.27,2.4597701149425286,3.0,14,6.0,11.7,0,0,12873786
Airoli,855.72,4,2.0,29,32.0,14.2,0,0,12988255
Airoli,1177.38,2.4597701149425286,2.5295887662988967,1,25.0,11.6,1,0,13737406
Belapur,477.91,1,2.5295887662988967,8,30.0,10.5,0,0,8456886
KHARGHAR,874.44,3,2.0,9,27.0,11.3,0,0,9121895
KHARGHAR,1558.04,3,2.0,18,14.0,8.8,1,0,23830947
Airoli,881.7,1,2.5295887662988967,16.55400254129606,24.0,6.4,1,0,15413988
Ulwe,868.51,2,2.5295887662988967,34,8.0,18.8,0,1,13893854
Belapur,1174.9,1,1.0,33,20.0,12.6,0,1,19758446
Belapur,779.67,2,1.0,28,11.0,1.9,0,1,13419723
KHARGHAR,1228.72,2,3.0,17,6.0,17.9,0,0,16873551
nerul,63.69,2.4597701149425286,3.0,10,7.0,22.3,1,0,826945
Belapur,535.45,1,1.0,15,27.0,3.0,0,0,9638370
Nerul,961.52,3,3.0,5,5.0,8.7,0,0,10800945
nerul,1045.79,4,4.0,32,24.0,3.3,1,0,15803253
Kharghar,1553.91,2.4597701149425286,2.5295887662988967,5,28.0,10.4,0,1,26246899
Airoli,558.05,3,2.5295887662988967,31,19.846280312371558,2.8,1,0,8543312
Belapur,1422.05,3,3.0,31,9.0,14.9,0,0,24458392
CBD Belapur,1357.0,2,2.5295887662988967,30,24.0,24.0,0,1,13829085
Airoli,779.7,3,4.0,17,13.0,10.7,0,0,10526700
panvel,531.79,2,4.0,16.55400254129606,13.0,7.8,0,0,9689561
Vashi,527.74,2.4597701149425286,2.5295887662988967,14,26.0,5.9,0,1,8240030
KHARGHAR,1589.42,4,4.0,34,30.0,12.8,1,1,21697111
Ulwe,836.15,3,4.0,25,22.0,3.8,0,0,11032304
CBD Belapur,1278.94,4,1.0,19,17.0,3.0,1,0,17663058
Panvel,2007.43,2,3.0,3,31.0,6.8,1,0,37229194
nerul,1640.79,1,4.0,12,33.0,5.6,1,0,28396840
nerul,1317.21,4,3.0,16.55400254129606,39.0,12.1,0,0,23629322
panvel,1145.07,2,4.0,9,27.0,12.5,1,0,15044748
Airoli,917.62,2.4597701149425286,2.0,33,18.0,8.5,1,0,9402984
nerul,643.76,2,3.0,18,22.0,12.4,1,0,10809590
Panvel,1389.86,2,2.5295887662988967,33,1.0,6.9,0,1,18028803
Belapur,946.47,1,1.0,10,20.0,4.5,0,0,17769166
nerul,876.84,2,2.0,11,9.0,16.2,1,0,7987349
Airoli,640.97,3,4.0,9,36.0,10.3,0,0,9860580
Airoli,960.63,4,3.0,1,39.0,13.4,1,0,15070493
panvel,877.03,2.4597701149425286,2.5295887662988967,33,8.0,8.2,0,0,14063637
Ulwe,1265.55,1,2.5295887662988967,27,31.0,15.0,1,0,17556127
Panvel,1138.39,2,3.0,26,23.0,13.1,0,0,16115430
Ghansoli,767.45,4,1.0,3,19.846280312371558,5.8,1,1,8745115
Kharghar,1828.66,3,2.5295887662988967,24,37.0,12.6,0,0,29966275
nerul,1735.89,1,3.0,15,9.0,8.2,0,0,17306338
Airoli,482.53,2,3.0,15,17.0,14.9,0,0,6288204
panvel,981.38,3,2.5295887662988967,31,19.846280312371558,9.1,1,0,15144952
KHARGHAR,1056.02,2,2.5295887662988967,22,5.0,7.7,1,0,15321051
Ulwe,615.94,3,4.0,19,9.0,1.2,0,1,6997419
Airoli,3430.9657487994687,4,2.0,5,34.0,12.0,0,0,50507091.96410894
KHARGHAR,394.16,2,2.0,16,32.0,14.2,0,1,5776653
Ulwe,1361.51,2.4597701149425286,2.5295887662988967,26,18.0,11.0,0,1,20204246
nerul,648.29,2,2.5295887662988967,8,14.0,7.6,0,1,12171003
Airoli,1331.25,1,4.0,15,1.0,11.1,1,0,16544238
KHARGHAR,885.46,2,1.0,20,24.0,4.6,0,1,11128948
Vashi,846.16,4,1.0,24,24.0,1.0,1,1,10422470
Airoli,1462.38,3,2.5295887662988967,34,13.0,4.0,1,0,25171238
Vashi,1362.1,2.4597701149425286,4.0,16,35.0,5.7,0,1,23077578
Belapur,883.27,2.4597701149425286,3.0,0,32.0,22.8,0,0,10080388
Belapur,669.1,2,2.0,5,28.0,14.1,1,1,6201268
Vashi,951.22,1,2.5295887662988967,7,21.0,11.5,0,0,17749031
Vashi,254.76,3,2.0,14,17.0,5.8,0,1,3175980
Kharghar,364.85,2,4.0,7,29.0,10.6,0,1,3436956
Airoli,1138.2,2,4.0,32,17.0,19.6,0,1,16278392
panvel,1182.69,2.4597701149425286,4.0,4,23.0,9.3,1,0,19788069
Ulwe,259.73,2,4.0,7,8.0,15.5,0,1,4479329
Ulwe,837.8,2.4597701149425286,3.0,15,4.0,13.3,0,1,13230653
KHARGHAR,407.61,3,3.0,16.55400254129606,24.0,1.9,0,0,7707855
CBD Belapur,735.87,3,3.0,31,36.0,7.5,1,0,13140599
Vashi,977.97,2,3.0,16.55400254129606,29.0,15.3,1,0,15758353
Nerul,565.98,4,1.0,30,20.0,7.3,0,0,9685385
Airoli,1125.79,2.4597701149425286,4.0,9,5.0,7.4,0,0,15267281
Nerul,977.43,2.4597701149425286,2.5295887662988967,9,18.0,1.6,1,0,15111682
Airoli,1472.42,4,4.0,16.55400254129606,37.0,11.4,0,0,28199144
Airoli,1498.74,2,2.0,12,35.0,9.1,0,0,27782369
CBD Belapur,764.24,1,1.0,24,4.0,10.8,1,0,10630873
Panvel,1304.75,3,2.0,33,20.0,5.5,0,1,16300610
Vashi,949.27,4,3.0,0,4.0,8.8,1,0,12081056
panvel,102.39,1,4.0,11,11.0,0.1,0,0,820111
Kharghar,1074.34,1,2.5295887662988967,16.55400254129606,16.0,1.5,0,0,12382782
Belapur,1199.42,1,4.0,4,22.0,10.0,1,1,20411572
nerul,1497.37,2.4597701149425286,2.5295887662988967,14,36.0,15.1,0,0,19080915
panvel,1326.31,2.4597701149425286,1.0,15,32.0,2.1,0,1,13986799
Airoli,397.43,3,2.0,31,26.0,9.3,0,0,5545225
Airoli,524.64,2,4.0,26,11.0,2.8,0,1,5556647
Airoli,1005.95,2,4.0,9,29.0,14.0,0,0,13658154
panvel,452.09,1,1.0,12,38.0,7.8,1,0,8429079
Airoli,648.51,2.4597701149425286,2.0,23,28.0,13.3,1,1,9400425
KHARGHAR,109.99,1,2.0,17,38.0,11.8,1,1,2098544
KHARGHAR,699.16,2,2.5295887662988967,7,7.0,7.8,0,1,12902344
Panvel,1305.82,2,4.0,29,7.0,17.5,0,1,23140224
Airoli,1251.07,2,2.0,24,27.0,0.9,0,0,22188709
Ghansoli,578.48,1,4.0,29,27.0,24.3409720571534,0,0,9403706
panvel,1689.34,3,2.5295887662988967,1,12.0,1.6,1,1,32471130
Ghansoli,1206.05,3,3.0,5,8.0,13.8,1,0,17055571
Airoli,848.83,1,4.0,25,28.0,8.2,0,0,13706820
Ghansoli,656.58,2.4597701149425286,3.0,16.55400254129606,19.846280312371558,0.4,0,0,9330557
Belapur,136.06,2,4.0,18,15.0,9.0,0,1,2041349
Panvel,1166.66,2,1.0,17,19.846280312371558,16.1,0,1,15510673
CBD Belapur,1336.72,4,3.0,24,35.0,12.3,1,0,28998176
KHARGHAR,874.35,3,1.0,9,18.0,13.5,1,1,15931046
Nerul,842.74,1,1.0,16.55400254129606,29.0,9.0,0,1,11080586
Ulwe,923.57,3,1.0,25,3.0,0.7,0,1,14575639
Ulwe,136.8,2.4597701149425286,2.0,20,30.0,20.7,0,0,1950826
Nerul,765.53,2,2.0,31,23.0,12.5,0,0,11402078
Kharghar,669.3,3,3.0,10,6.0,2.3,0,1,11634681
KHARGHAR,771.8,4,4.0,12,19.0,16.7,1,1,11411305
Nerul,1108.82,1,2.5295887662988967,23,9.0,13.1,1,0,12420274
panvel,881.33,2,2.5295887662988967,17,18.0,10.7,1,0,9815815
KHARGHAR,936.8,2,2.0,14,15.0,4.9,1,1,16875869
Ghansoli,802.92,3,2.5295887662988967,12,26.0,5.2,0,0,9746500
CBD Belapur,1979.34,2.4597701149425286,2.0,18,23.0,8.4,1,1,18617730
Kharghar,420.37,2,3.0,13,13.0,7.4,0,1,5988631
Kharghar,3430.9657487994687,2,2.5295887662988967,16.55400254129606,14.0,11.2,0,1,50507091.96410894
CBD Belapur,1669.71,3,1.0,21,20.0,11.2,1,1,20031423
nerul,164.39,1,2.0,18,17.0,3.9,0,0,1942123
Kharghar,1414.77,3,4.0,7,5.0,17.3,0,0,25471873
panvel,875.66,3,3.0,22,1.0,9.9,1,0,17889381
Ghansoli,871.14,2,2.0,1,19.846280312371558,1.0,0,1,11700795
Airoli,3430.9657487994687,2,4.0,16.55400254129606,22.0,6.2,0,1,42931653
Vashi,1115.52,4,3.0,24,10.0,15.3,0,1,19445709
Nerul,1121.32,2,4.0,34,35.0,6.9,0,1,13394930
panvel,1415.83,2.4597701149425286,2.0,24,2.0,7.5,0,1,17343822
Airoli,1253.59,1,2.5295887662988967,8,12.0,10.7,0,0,20030988
CBD Belapur,1120.35,1,2.5295887662988967,0,16.0,8.1,0,1,18562820
Belapur,848.57,2,4.0,9,3.0,5.2,0,1,12047445
Belapur,880.95,2,4.0,3,13.0,11.8,0,1,14239960
Airoli,771.39,3,2.0,12,10.0,13.1,1,1,9692201
Airoli,1524.55,1,3.0,20,31.0,1.7,0,0,16024483
KHARGHAR,939.36,2,2.0,21,18.0,15.2,0,0,16973075
Ulwe,1218.09,2.4597701149425286,1.0,11,21.0,12.1,0,1,15183252
Nerul,585.47,4,4.0,25,1.0,0.7,1,0,11052011
panvel,816.09,3,4.0,11,5.0,5.6,0,0,10151582
panvel,359.41,4,2.0,25,14.0,10.7,0,1,6216951
Vashi,987.76,2,2.5295887662988967,25,38.0,10.2,0,0,13898522
Ghansoli,1190.85,2.4597701149425286,2.5295887662988967,16,23.0,8.4,1,0,16316427
Ulwe,619.88,2,2.0,1,14.0,5.0,0,0,9530411
Airoli,631.57,2,2.5295887662988967,20,20.0,8.6,0,0,7712264
Belapur,906.8,2.4597701149425286,3.0,3,8.0,4.4,0,0,14652278
nerul,81.1,2,4.0,30,11.0,1.1,0,1,1239273
Panvel,656.74,2,1.0,14,28.0,19.4,1,0,11354182
Panvel,1597.84,1,3.0,27,8.0,13.6,1,0,17543059
panvel,1039.78,3,1.0,26,32.0,14.3,0,1,15429296
CBD Belapur,1033.78,1,2.5295887662988967,10,16.0,5.6,0,1,16545580
Nerul,948.6,3,2.0,0,15.0,5.5,1,1,15078683
CBD Belapur,1258.77,1,2.0,3,18.0,10.6,0,0,15384902
Nerul,963.85,2.4597701149425286,4.0,26,34.0,16.2,0,1,8549710
nerul,411.77,2,2.5295887662988967,20,26.0,18.2,0,1,3483416
Kharghar,1471.31,2,1.0,15,4.0,11.5,1,0,15270943
Ulwe,1526.78,1,2.5295887662988967,2,35.0,4.9,0,0,16503905
Nerul,756.55,2,3.0,28,10.0,13.1,0,0,9123487
nerul,909.15,2,1.0,34,11.0,13.9,0,1,13407821
Belapur,2778.55,2,4.0,28,16.0,11.0,1,1,32389289
Kharghar,939.92,4,4.0,19,5.0,11.8,0,0,11886994
KHARGHAR,1655.97,2,2.5295887662988967,19,36.0,24.3409720571534,1,1,29784238
Airoli,1614.17,1,3.0,4,11.0,5.6,0,1,15422326
nerul,1747.74,1,1.0,24,17.0,6.3,0,0,21730868
Kharghar,1118.92,3,2.5295887662988967,4,15.0,8.8,1,1,20732671
KHARGHAR,1383.08,2.4597701149425286,4.0,31,20.0,5.2,0,0,21581302
Nerul,932.87,2,3.0,4,7.0,8.3,0,1,9716098
panvel,74.16,3,2.0,10,35.0,1.7,1,0,1221705
Vashi,1198.63,2,3.0,18,31.0,5.8,0,1,23006520
Airoli,327.37,2.4597701149425286,2.0,15,34.0,5.4,0,0,4345409
Airoli,1237.58,2,4.0,0,19.846280312371558,14.0,0,0,17717482
Kharghar,125.7,2,3.0,29,19.0,9.8,0,1,2044763
Panvel,847.08,3,1.0,34,19.846280312371558,14.5,0,0,8800312
Kharghar,861.58,2.4597701149425286,4.0,16.55400254129606,27.0,8.4,1,0,14054526
Ulwe,858.41,2,4.0,16.55400254129606,16.0,8.5,0,1,8198075
Belapur,1566.13,2,1.0,12,21.0,4.7,1,1,16787632
Nerul,749.3,3,4.0,26,30.0,13.5,1,1,14152260
KHARGHAR,816.94,2.4597701149425286,1.0,31,11.0,14.6,1,0,8563880
panvel,1134.02,1,4.0,28,26.0,9.4,0,0,14137503
KHARGHAR,1708.06,1,2.0,8,31.0,6.4,0,1,22838391
Ulwe,1161.11,2.4597701149425286,2.0,1,10.0,13.0,0,0,14721206
Ghansoli,922.55,2,2.0,24,26.0,0.2,1,0,11628397
Kharghar,235.45,4,2.0,22,35.0,4.3,0,0,4920014
Airoli,1056.85,2.4597701149425286,2.0,7,15.0,11.1,0,0,15754465
Airoli,1297.47,4,2.0,29,1.0,2.1,0,0,16616236
Panvel,-351.79,2.4597701149425286,3.0,14,3.0,15.2,0,1,-3981893
Kharghar,1082.95,2.4597701149425286,4.0,13,26.0,5.7,1,1,17475406
CBD Belapur,1398.74,3,2.0,23,21.0,15.9,0,1,18758043
Panvel,936.19,4,2.0,16.55400254129606,20.0,2.2,0,0,10845277
Kharghar,642.34,3,4.0,20,8.0,2.4,1,0,11990005
Kharghar,927.22,2.4597701149425286,2.0,22,34.0,9.8,1,1,12776285
Airoli,620.21,2,2.0,16.55400254129606,2.0,3.5,1,1,5449498
Nerul,1575.16,4,3.0,18,11.0,6.4,1,0,19286161
Belapur,1043.55,2,4.0,17,21.0,15.0,1,1,12927783
Ghansoli,836.51,2.4597701149425286,4.0,26,25.0,11.5,0,0,9190872
CBD Belapur,905.51,1,2.5295887662988967,22,14.0,2.6,0,1,15684609
panvel,134.65,1,4.0,5,28.0,12.5,1,0,1921357
Panvel,1238.59,2.4597701149425286,4.0,31,10.0,11.8,0,1,15927819
Ghansoli,493.33,1,3.0,16.55400254129606,38.0,5.7,1,0,9186220
CBD Belapur,8.67,4,2.5295887662988967,31,8.0,4.2,0,0,783750
KHARGHAR,1320.27,4,3.0,7,39.0,8.2,0,0,24155746
Ulwe,1000.34,2,2.0,16,13.0,14.2,1,0,18537344
Panvel,1103.23,1,2.0,26,35.0,3.2,0,1,19376929
Belapur,2246.06,4,4.0,6,31.0,13.4,0,0,44346106
Ghansoli,1251.49,2,1.0,5,27.0,13.6,0,0,13967281
Ghansoli,424.15,2,3.0,20,14.0,2.6,0,0,7822142
panvel,14.73,2,1.0,18,24.0,0.3,1,0,441508
Airoli,572.98,3,1.0,23,6.0,17.7,1,0,7886312
Ulwe,896.37,2,4.0,16.55400254129606,38.0,1.6,0,0,12667773
nerul,1086.24,3,3.0,18,37.0,16.6,1,0,19422583
Panvel,1232.59,2,3.0,33,39.0,14.7,1,1,15504816
Belapur,1171.3,3,4.0,16.55400254129606,30.0,0.9,0,1,13990020
Panvel,968.57,2,2.5295887662988967,14,27.0,0.2,1,1,16041426
Airoli,592.26,2.4597701149425286,2.0,7,16.0,3.9,0,1,10433864
Airoli,819.32,2,2.0,30,18.0,1.7,1,0,8857743
Ghansoli,1301.77,2.4597701149425286,4.0,5,7.0,1.5,0,1,18691871
Kharghar,1089.03,2.4597701149425286,2.5295887662988967,21,37.0,4.8,1,1,9592394
CBD Belapur,1214.9,1,3.0,6,35.0,2.4,1,0,12437275
Airoli,449.99,2,2.0,22,1.0,10.2,1,0,5780341
CBD Belapur,1004.08,2.4597701149425286,2.5295887662988967,8,4.0,6.0,0,0,13237286
Kharghar,837.11,3,3.0,25,6.0,9.8,1,0,11415509
Nerul,627.79,3,3.0,1,35.0,6.7,1,0,11908624
Nerul,1807.2,1,3.0,8,34.0,5.2,0,0,31253420
Vashi,1070.56,2,2.5295887662988967,18,21.0,7.8,0,1,18701726
Belapur,666.23,2.4597701149425286,4.0,16,32.0,11.9,1,0,8266749
Airoli,1825.06,2.4597701149425286,1.0,5,8.0,3.4,0,1,22822797
Kharghar,425.01,2,2.5295887662988967,8,1.0,11.2,0,0,5943118
nerul,1348.39,2.4597701149425286,2.0,30,7.0,3.8,0,0,14518984
Airoli,1081.37,1,1.0,7,4.0,14.3,0,0,19009027
Airoli,836.13,2,2.0,3,26.0,5.4,0,0,11327917
Belapur,537.41,2,2.0,33,28.0,12.0,1,1,9434744
panvel,819.93,2.4597701149425286,2.5295887662988967,30,3.0,2.4,0,0,7914673
Airoli,1526.51,1,3.0,28,16.0,0.6,0,0,21885999
nerul,1525.72,2.4597701149425286,1.0,5,31.0,10.5,0,0,18035083
Ghansoli,911.35,2.4597701149425286,4.0,16,19.0,7.2,0,1,15670250
Panvel,605.77,2.4597701149425286,3.0,25,9.0,6.1,0,1,9953953
Ulwe,3430.9657487994687,4,3.0,1,23.0,13.4,1,1,50507091.96410894
Airoli,1749.55,2,4.0,4,1.0,20.2,1,0,19422221
Belapur,1142.27,2.4597701149425286,1.0,4,24.0,9.5,0,1,16366101
Vashi,1333.35,1,1.0,13,34.0,8.3,1,0,15541650
panvel,1799.91,2,3.0,28,19.846280312371558,16.0,0,0,25056386
CBD Belapur,1482.83,2.4597701149425286,4.0,27,4.0,3.2,1,0,24871804
Belapur,1262.47,2,1.0,8,34.0,2.2,0,0,20791939
nerul,1687.37,1,1.0,27,9.0,16.2,0,0,31920538
CBD Belapur,1185.4,2.4597701149425286,1.0,20,27.0,12.0,0,0,20649858
Belapur,791.12,2.4597701149425286,2.0,33,1.0,17.6,1,1,10327600
nerul,997.84,2,2.0,32,38.0,13.9,1,0,9669891
Nerul,1139.26,4,2.0,32,21.0,3.8,0,0,12696327
Nerul,1085.48,2,4.0,10,28.0,15.2,1,1,16493928
Belapur,945.31,2,1.0,23,10.0,5.2,1,0,16274802
CBD Belapur,667.92,2.4597701149425286,2.5295887662988967,23,27.0,3.8,0,0,10012877
KHARGHAR,1180.7,3,4.0,6,34.0,19.2,1,0,21282815
Airoli,754.69,2,1.0,31,7.0,11.8,0,1,8904107
KHARGHAR,1154.21,1,1.0,24,10.0,9.2,1,0,15282177
panvel,1173.49,2.4597701149425286,2.5295887662988967,18,38.0,7.1,0,1,18444581
CBD Belapur,546.88,3,4.0,14,3.0,1.3,1,0,8055204
CBD Belapur,1110.77,2.4597701149425286,1.0,11,25.0,3.7,0,0,16842882
Panvel,1553.2,2,2.5295887662988967,0,17.0,4.9,1,0,25001722
panvel,1012.66,1,2.5295887662988967,18,30.0,9.5,0,1,14418625
KHARGHAR,185.16,2,2.5295887662988967,18,2.0,10.4,1,0,2188692
Belapur,1254.13,2,2.0,29,36.0,1.4,0,1,24774467
panvel,1440.56,2,1.0,23,16.0,14.9,1,0,19373816
Vashi,1222.09,1,2.5295887662988967,30,17.0,3.6,1,1,17479222
nerul,1548.44,2.4597701149425286,4.0,33,16.0,5.1,1,1,26352840
Ulwe,1309.16,2.4597701149425286,3.0,16,32.0,6.8,0,0,13866046
nerul,983.01,2.4597701149425286,1.0,34,25.0,7.0,0,0,11104708
Airoli,1082.54,2,1.0,20,34.0,11.2,0,0,14128757
KHARGHAR,607.96,3,2.0,16.55400254129606,25.0,0.8,0,1,9067584
KHARGHAR,844.19,2.4597701149425286,4.0,33,19.846280312371558,4.0,0,1,9315058
nerul,988.8,2.4597701149425286,1.0,13,14.0,11.6,1,1,13625999
Ghansoli,1452.48,1,4.0,24,14.0,15.1,0,0,17656346
Ghansoli,1273.71,1,1.0,32,38.0,8.7,0,0,14884164
CBD Belapur,604.29,2,2.5295887662988967,25,38.0,14.8,1,1,9986009
Belapur,1124.03,1,3.0,29,17.0,6.2,0,0,13581935
Ulwe,1651.28,2.4597701149425286,4.0,30,4.0,5.8,1,1,16695439
Airoli,501.45,3,2.0,19,24.0,5.6,1,0,9796347
nerul,769.34,2.4597701149425286,4.0,22,31.0,9.2,0,0,12644765
Airoli,192.9,2,4.0,9,35.0,9.9,0,1,2570829
nerul,133.81,3,4.0,12,31.0,10.5,0,0,1950081
Airoli,130.21,1,1.0,25,32.0,15.6,0,0,1580396
Ulwe,1000.09,2,3.0,5,20.0,5.4,1,0,19923705
Airoli,1083.09,3,3.0,11,28.0,0.0,0,0,21870732
CBD Belapur,1797.14,1,2.5295887662988967,6,33.0,1.0,0,0,27736155
Nerul,886.26,1,2.0,5,11.0,5.8,0,1,9540554
Airoli,1324.18,4,4.0,1,30.0,11.0,1,0,14866630
Kharghar,1138.62,3,1.0,28,29.0,3.0,0,0,21492728
Airoli,978.91,2,2.5295887662988967,20,22.0,2.1,0,0,16925492
Airoli,1152.16,4,3.0,2,1.0,9.2,1,0,16536069
Vashi,1197.34,3,2.5295887662988967,12,16.0,16.7,0,0,20332617
panvel,894.62,2.4597701149425286,3.0,12,10.0,0.7,0,0,8540920
Airoli,913.92,4,2.0,26,21.0,11.0,0,0,15873000
CBD Belapur,1158.27,4,2.0,11,28.0,13.1,0,1,19057807
Kharghar,1000.59,2.4597701149425286,1.0,11,10.0,1.5,1,0,10014922
Airoli,1483.55,4,4.0,10,20.0,23.0,0,1,25016172
KHARGHAR,1401.07,4,1.0,33,18.0,3.7,0,0,27068477
Panvel,1296.87,3,4.0,25,30.0,5.0,0,1,14223228
CBD Belapur,3430.9657487994687,2,4.0,15,14.0,2.5,0,1,78350830
nerul,750.97,2.4597701149425286,1.0,22,5.0,14.9,0,0,7025293
Ulwe,656.36,2,1.0,7,17.0,8.5,1,0,7259613
Belapur,3430.9657487994687,1,3.0,8,30.0,4.3,0,1,51537342
Airoli,787.02,2,4.0,26,19.0,4.4,1,0,11910325
Airoli,970.21,4,2.5295887662988967,22,38.0,9.0,0,0,19084011
Ulwe,617.82,4,2.5295887662988967,8,6.0,11.1,0,1,12165470
panvel,818.84,4,4.0,25,1.0,8.9,1,1,15836955
nerul,688.25,2.4597701149425286,1.0,16.55400254129606,14.0,3.4,0,0,11535015
Airoli,412.75,2,2.0,30,28.0,5.6,0,1,6892439
Belapur,623.04,1,3.0,21,28.0,9.9,1,0,8220114
Ulwe,1399.22,4,2.0,9,14.0,0.3,0,1,17121449
Airoli,713.73,3,2.5295887662988967,0,8.0,4.6,1,0,8311631
Airoli,443.24,3,1.0,26,8.0,10.6,1,0,7278854
Ghansoli,1713.77,2,3.0,29,15.0,12.9,0,0,28453093
Nerul,658.17,2,2.0,6,6.0,2.7,0,0,8531466
Ulwe,513.61,2,2.5295887662988967,8,4.0,5.5,0,0,6791715
Airoli,1265.17,4,4.0,13,15.0,10.8,1,1,19670019
Ulwe,1338.73,2,2.0,27,33.0,7.8,1,1,23672428
CBD Belapur,3430.9657487994687,4,2.0,3,10.0,0.4,1,1,50507091.96410894
Airoli,764.19,3,3.0,16,15.0,4.3,1,0,13242338
panvel,1561.57,2,3.0,32,3.0,10.2,0,0,26655042
Kharghar,1039.69,4,3.0,20,32.0,5.9,0,0,11809091
Panvel,1049.82,1,2.5295887662988967,14,37.0,1.1,1,0,15218591
Panvel,909.95,3,2.0,11,24.0,8.3,0,1,13259234
Kharghar,836.86,2,2.5295887662988967,18,12.0,15.7,0,0,8838223
KHARGHAR,739.3,3,4.0,14,38.0,12.0,1,0,8319929
nerul,1691.36,2,4.0,16,24.0,10.7,1,0,29933047
CBD Belapur,482.03,2,1.0,18,24.0,9.2,1,0,5511956
Ulwe,1017.22,4,1.0,12,1.0,2.0,0,0,16524424
Airoli,1075.06,2.4597701149425286,2.0,6,25.0,18.7,0,0,15001569
Ghansoli,1809.39,2,4.0,21,5.0,17.7,1,1,22906453
Nerul,556.15,1,4.0,16,20.0,11.4,0,0,6675945
nerul,261.96,2.4597701149425286,4.0,22,20.0,4.4,1,0,3755642
Ghansoli,686.16,1,1.0,11,36.0,3.8,1,0,9280413
KHARGHAR,792.58,4,2.5295887662988967,34,12.0,12.1,1,0,14531704
Airoli,1050.82,1,2.5295887662988967,11,22.0,5.7,1,1,13370186
nerul,3430.9657487994687,1,4.0,8,15.0,14.1,1,1,50507091.96410894
Ghansoli,723.44,3,2.0,25,36.0,13.0,0,1,8375039
Vashi,282.35,3,2.0,4,3.0,3.4,1,0,3428709
nerul,1049.82,2.4597701149425286,2.5295887662988967,30,14.0,0.9,0,1,15939140
Nerul,899.93,4,4.0,20,15.0,13.1,0,1,10648372
CBD Belapur,484.72,2,1.0,9,21.0,8.1,0,1,10145898
Ulwe,494.88,2,2.0,16,6.0,11.1,0,1,9124729
Kharghar,737.6,2,1.0,16,25.0,4.3,0,0,12717236
Ulwe,100.44,3,2.0,15,37.0,4.8,0,0,689971
CBD Belapur,3430.9657487994687,2.4597701149425286,1.0,20,28.0,3.2,0,1,50507091.96410894
nerul,619.11,2.4597701149425286,4.0,3,14.0,11.1,1,0,11699533
Ghansoli,388.96,2,2.5295887662988967,3,20.0,18.5,0,1,6440657
Airoli,782.23,3,2.0,23,34.0,12.5,1,0,8798530
CBD Belapur,920.23,3,3.0,7,27.0,11.7,0,1,11819900
panvel,1111.72,3,3.0,9,7.0,15.4,0,0,20379036
Airoli,1172.49,3,4.0,31,37.0,10.7,0,0,12644383
nerul,602.81,4,3.0,10,26.0,6.7,1,0,6840628
Ulwe,1291.76,2,2.5295887662988967,25,17.0,10.0,0,0,22639707
nerul,684.89,2.4597701149425286,4.0,23,12.0,2.5,1,0,7871862
Nerul,349.69,3,2.5295887662988967,29,27.0,9.0,1,0,3321441
Airoli,1416.84,2,4.0,27,33.0,17.7,1,1,18970284
Ulwe,703.62,2.4597701149425286,2.0,9,35.0,1.9,0,0,10490332
KHARGHAR,589.73,4,2.5295887662988967,11,37.0,2.2,0,0,12678311
Ghansoli,1523.72,2,3.0,31,39.0,9.7,0,0,20721869
Belapur,1153.61,4,1.0,7,28.0,14.9,0,1,16243063
nerul,666.95,2,2.5295887662988967,29,29.0,3.7,0,0,11006576
nerul,1299.13,2,2.5295887662988967,26,35.0,2.2,1,0,12745896
Vashi,1503.81,1,4.0,24,22.0,10.7,0,0,25358242
Vashi,1298.88,3,2.0,8,39.0,6.1,0,0,23084382
Ghansoli,1503.28,1,2.5295887662988967,10,8.0,15.6,0,0,16236948
Airoli,855.3,1,2.5295887662988967,1,4.0,12.0,1,0,10263524
